Median_D492	Median_D492_Her2	Median_D492M	D492_1	D492_2	D492_3	D492_Her2_1	D492_Her2_2	D492_Her2_3	Coefficient of variation_D492	Coefficient of variation_D492_Her2	Protein ID_total	Protein ID_R1	Protein Names_R1	Gene Name (GN)_R1	Protein ID_R2	Protein Names_R2	Gene Name (GN)_R2	Protein ID_R3	Protein Names_R3	Gene Name (GN)_R3
0.492642521858215	0.658099830150604	-1.15074229240417	1.558200002	1.622400045	1.502799988	1.614400029	1.670799971	1.537199974	0.03834007	0.041723614	P53618	P53618	Coatomer subunit beta	COPB1	P53618	Coatomer subunit beta	COPB1	P53618	Coatomer subunit beta	COPB1
0.672146856784821	0.477046430110931	-1.14919328689575	1.294800043	1.453699946	1.502699971	1.460600019	1.261100054	1.405099988	0.076696079	0.07485434	P26572	P26572	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1	P26572	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1	P26572	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT1
0.902077555656433	0.173214465379715	-1.07529199123383	1.340800047	1.435700059	1.50150001	1.273100019	1.275099993	1.343500018	0.056653516	0.03089698	P57740	P57740	Nuclear pore complex protein Nup107	NUP107	P57740	Nuclear pore complex protein Nup107	NUP107	P57740	Nuclear pore complex protein Nup107	NUP107
1.10036313533783	-0.247030049562454	-0.853333055973053	1.401499987	1.361799955	1.501099944	1.161800027	1.046800017	1.124600053	0.05048613	0.052816196	Q96HW7	Q96HW7	Integrator complex subunit 4	INTS4	Q96HW7	Integrator complex subunit 4	INTS4	Q96HW7	Integrator complex subunit 4	INTS4
1.13054668903351	-0.768738865852356	-0.36180779337883	NaN	1.406399965	1.50090003	NaN	0.845700026	0.906899989	0.045968174	0.049383668	Q9P1F3				Q9P1F3	Costars family protein ABRACL	ABRACL	Q9P1F3	Costars family protein ABRACL	ABRACL
1.13969671726227	-0.40916720032692	-0.730529606342316	1.458899975	NaN	1.499600053	1.071499944	NaN	1.093199968	0.019455333	0.014176778	B3KRB2	B3KRB2	cDNA FLJ33964 fis, clone CTONG2019029, highly similar to Pseudouridylate synthase 7 homolog (EC 5.4.99.-)					B3KRB2	cDNA FLJ33964 fis, clone CTONG2019029, highly similar to Pseudouridylate synthase 7 homolog (EC 5.4.99.-)	
1.10115170478821	-0.249579653143883	-0.851572036743164	1.351300001	1.291800022	1.496500015	1.108299971	1.090999961	1.25880003	0.076309907	0.080065574	Q9BW27	Q9BW27	Nuclear pore complex protein Nup85	NUP85	Q9BW27	Nuclear pore complex protein Nup85	NUP85	Q9BW27	Nuclear pore complex protein Nup85	NUP85
1.14495301246643	-0.702137112617493	-0.442815959453583	NaN	1.30219996	1.495599985	NaN	0.969399989	0.900300026	0.097758576	0.052266194	Q5NDL2-3				Q5NDL2-3	Isoform 3 of EGF domain-specific O-linked N-acetylglucosamine transferase	EOGT	Q5NDL2-3	Isoform 3 of EGF domain-specific O-linked N-acetylglucosamine transferase	EOGT
0.879928648471832	0.207564994692802	-1.0874936580658	1.791000009	1.641700029	1.494500041	1.434000015	1.422399998	1.320500016	0.090264991	0.044854223	A0A1W2PNY5	A0A1W2PNY5	Elongator complex protein 4	ELP4	A0A1W2PNY5	Elongator complex protein 4	ELP4	A0A1W2PNY5	Elongator complex protein 4	ELP4
1.13576364517212	-0.748244643211365	-0.387518972158432	NaN	1.434700012	1.493899941	NaN	0.884599984	0.895500004	0.028587497	0.008659602	Q9Y305-2				Q9Y305-2	Isoform 2 of Acyl-coenzyme A thioesterase 9, mitochondrial	ACOT9	Q9Y305-2	Isoform 2 of Acyl-coenzyme A thioesterase 9, mitochondrial	ACOT9
1.15351235866547	-0.531402766704559	-0.622109591960907	1.426599979	1.613899946	1.493299961	1.012799978	1.080600023	1.025200009	0.062817352	0.03472825	Q5QNZ2	Q5QNZ2	ATP synthase F(0) complex subunit B1, mitochondrial	ATP5F1	Q5QNZ2	ATP synthase F(0) complex subunit B1, mitochondrial	ATP5F1	Q5QNZ2	ATP synthase F(0) complex subunit B1, mitochondrial	ATP5F1
0.880920350551605	0.206056997179985	-1.08697736263275	1.433899999	1.411800027	1.490800023	1.285099983	1.273399949	1.389000058	0.028196095	0.048360015	Q02790	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4	FKBP4	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4	FKBP4	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4	FKBP4
1.00846004486084	-0.0171405151486397	-0.991319537162781	1.563899994	1.636399984	1.489899993	1.274700046	1.313300014	1.249300003	0.046853829	0.025194339	V9HWD9	V9HWD9	Epididymis luminal protein 107	HEL107	V9HWD9	Epididymis luminal protein 107	HEL107	V9HWD9	Epididymis luminal protein 107	HEL107
1.15440654754639	-0.55463832616806	-0.599768221378326	1.536399961	1.578099966	1.488000035	0.996699989	1.042899966	1.013800025	0.029391503	0.022949775	O75947	O75947	ATP synthase subunit d, mitochondrial	ATP5H	O75947	ATP synthase subunit d, mitochondrial	ATP5H	O75947	ATP synthase subunit d, mitochondrial	ATP5H
1.09187817573547	-0.871287524700165	-0.220590576529503	1.454100013	1.495800018	1.485900044	0.67930001	0.818300009	0.75910002	0.014735147	0.092729136	Q9UIS9-7	Q9UIS9-7	Isoform 7 of Methyl-CpG-binding domain protein 1	MBD1	Q9UIS9-7	Isoform 7 of Methyl-CpG-binding domain protein 1	MBD1	Q9UIS9-7	Isoform 7 of Methyl-CpG-binding domain protein 1	MBD1
1.07930183410645	-0.895081162452698	-0.184220641851425	1.305899978	1.254099965	1.483899951	0.824400008	0.827899992	0.905900002	0.089421484	0.054034394	Q00653-4	Q00653-4	Isoform 4 of Nuclear factor NF-kappa-B p100 subunit	NFKB2	Q00653-4	Isoform 4 of Nuclear factor NF-kappa-B p100 subunit	NFKB2	Q00653-4	Isoform 4 of Nuclear factor NF-kappa-B p100 subunit	NFKB2
1.10539221763611	-0.263592213392258	-0.841799974441528	NaN	1.52820003	1.483100057	NaN	1.189499974	1.110800028	0.021180551	0.048384355	P04350				P04350	Tubulin beta-4A chain	TUBB4A	P04350	Tubulin beta-4A chain	TUBB4A
0.144300162792206	0.92001074552536	-1.06431090831757	1.423699975	1.468199968	1.481999993	1.768700004	1.645400047	1.847200036	0.0208972	0.058003965	B4DMT5	B4DMT5	Eukaryotic translation initiation factor 3 subunit F	EIF3F	B4DMT5	Eukaryotic translation initiation factor 3 subunit F	EIF3F	B4DMT5	Eukaryotic translation initiation factor 3 subunit F	EIF3F
1.11379969120026	-0.293105185031891	-0.820694506168365	1.576300025	1.440199971	1.48179996	1.100900054	1.131399989	1.139299989	0.046512531	0.018043165	A0A087WYP2	A0A087WYP2	Selenoprotein H	SELENOH	A0A087WYP2	Selenoprotein H	SELENOH	A0A087WYP2	Selenoprotein H	SELENOH
1.13383233547211	-0.377659201622009	-0.756173133850098	1.403100014	NaN	1.48119998	1.10860002	NaN	1.068500042	0.038293531	0.026048382	B2RD09	B2RD09	cDNA, FLJ96406, highly similar to Homo sapiens NOL1/NOP2/Sun domain family, member 5 (NSUN5), transcript variant 1, mRNA					B2RD09	cDNA, FLJ96406, highly similar to Homo sapiens NOL1/NOP2/Sun domain family, member 5 (NSUN5), transcript variant 1, mRNA	
0.984143018722534	0.0309933517128229	-1.01513636112213	1.628499985	1.438599944	1.479500055	1.25090003	1.229900002	1.286800027	0.065948075	0.022911126	O75884	O75884	Putative hydrolase RBBP9	RBBP9	O75884	Putative hydrolase RBBP9	RBBP9	O75884	Putative hydrolase RBBP9	RBBP9
1.1539717912674	-0.541464745998383	-0.612507104873657	NaN	1.555799961	1.476099968	NaN	1.061699986	0.979799986	0.037175637	0.056734799	Q9NSE4				Q9NSE4	Isoleucine--tRNA ligase, mitochondrial	IARS2	Q9NSE4	Isoleucine--tRNA ligase, mitochondrial	IARS2
1.1427356004715	-0.714952409267426	-0.427783161401749	1.57889998	1.379299998	1.475800037	0.810599983	0.912999988	0.960300028	0.067535977	0.085533826	L0R582	L0R582	Alternative protein ARL10	ARL10	L0R582	Alternative protein ARL10	ARL10	L0R582	Alternative protein ARL10	ARL10
0.492210268974304	0.65849244594574	-1.15070271492004	1.445600033	1.315600038	1.47300005	1.57009995	1.436200023	1.490700006	0.059578265	0.044919762	Q53FU3	Q53FU3	Coatomer protein complex, subunit zeta 1 variant (Fragment)		Q53FU3	Coatomer protein complex, subunit zeta 1 variant (Fragment)		Q53FU3	Coatomer protein complex, subunit zeta 1 variant (Fragment)	
1.00619435310364	-0.0125060454010963	-0.993688344955444	NaN	1.577600002	1.472499967	NaN	1.243199944	1.271999955	0.048730828	0.016193292	Q6FI23				Q6FI23	MAP2K3 protein	MAP2K3	Q6FI23	MAP2K3 protein	MAP2K3
1.15399837493896	-0.611868619918823	-0.542129695415497	1.569800019	1.530200005	1.470800042	0.978200018	1.04610002	0.880599976	0.032704708	0.085916546	V9HW91	V9HW91	Epididymis secretory sperm binding protein Li 8a	HEL-S-8a	V9HW91	Epididymis secretory sperm binding protein Li 8a	HEL-S-8a	V9HW91	Epididymis secretory sperm binding protein Li 8a	HEL-S-8a
1.14245533943176	-0.425979912281036	-0.716475367546082	1.425300002	1.494300008	1.466500044	1.072900057	1.033400059	1.126299977	0.023745141	0.043268218	B4DH44	B4DH44	cDNA FLJ52538, highly similar to Dual specificity mitogen-activated proteinkinase kinase 4 (EC 2.7.12.2)		B4DH44	cDNA FLJ52538, highly similar to Dual specificity mitogen-activated proteinkinase kinase 4 (EC 2.7.12.2)		B4DH44	cDNA FLJ52538, highly similar to Dual specificity mitogen-activated proteinkinase kinase 4 (EC 2.7.12.2)	
1.15405476093292	-0.543587267398834	-0.610467493534088	1.541300058	1.474900007	1.465399981	1.063199997	1.018000007	1.014899969	0.027681336	0.026196441	P48047	P48047	ATP synthase subunit O, mitochondrial	ATP5O	P48047	ATP synthase subunit O, mitochondrial	ATP5O	P48047	ATP synthase subunit O, mitochondrial	ATP5O
1.15321707725525	-0.525935649871826	-0.627281427383423	NaN	1.483800054	1.464900017	NaN	1.026200056	1.027799964	0.009064567	0.001101563	Q0QEN7				Q0QEN7	ATP synthase subunit beta (Fragment)	ATP5B	Q0QEN7	ATP synthase subunit beta (Fragment)	ATP5B
1.13502025604248	-0.383670955896378	-0.751349270343781	1.41929996	1.444300056	1.464100003	1.086599946	1.141700029	1.065799952	0.015562723	0.035718852	Q9Y2R5	Q9Y2R5	28S ribosomal protein S17, mitochondrial	MRPS17	Q9Y2R5	28S ribosomal protein S17, mitochondrial	MRPS17	Q9Y2R5	28S ribosomal protein S17, mitochondrial	MRPS17
1.14698791503906	-0.4581079185009	-0.688880085945129	1.306499958	1.525099993	1.463000059	0.980799973	1.105100036	1.058200002	0.078689015	0.059893698	Q96F88	Q96F88	Processing of 1, ribonuclease P/MRP subunit (S. cerevisiae)	POP1	Q96F88	Processing of 1, ribonuclease P/MRP subunit (S. cerevisiae)	POP1	Q96F88	Processing of 1, ribonuclease P/MRP subunit (S. cerevisiae)	POP1
1.02163624763489	-0.0447767898440361	-0.976859450340271	1.540199995	1.406900048	1.461199999	1.261199951	1.21510005	1.151299953	0.045616422	0.045639307	A0A0A6YYL4	A0A0A6YYL4	Coronin	CORO7-PAM16	A0A0A6YYL4	Coronin	CORO7-PAM16	A0A0A6YYL4	Coronin	CORO7-PAM16
1.11088824272156	-0.282596945762634	-0.828291237354279	1.389999986	1.424299955	1.460800052	1.119400024	1.042199969	1.206099987	0.024845545	0.073043219	F5GZ78	F5GZ78	Paxillin	PXN	F5GZ78	Paxillin	PXN	F5GZ78	Paxillin	PXN
1.08618700504303	-0.203758463263512	-0.882428586483002	1.506700039	1.432399988	1.458600044	1.158100009	1.209100008	1.052399993	0.025707144	0.070118174	Q93008-1	Q93008-1	Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X	USP9X	Q93008-1	Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X	USP9X	Q93008-1	Isoform 2 of Probable ubiquitin carboxyl-terminal hydrolase FAF-X	USP9X
0.812768220901489	0.303936868906021	-1.11670506000519	1.368199944	1.328199983	1.457700014	1.271100044	1.251600027	1.397199988	0.047886197	0.060488809	O95433	O95433	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	O95433	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	O95433	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1
1.14116394519806	-0.417909979820251	-0.723253905773163	NaN	1.372099996	1.457700014	NaN	1.07949996	1.056399941	0.042779245	0.015294893	A8K1K8				A8K1K8	Chromosome 18 open reading frame 55, isoform CRA_b	C18orf55	A8K1K8	Chromosome 18 open reading frame 55, isoform CRA_b	C18orf55
1.13735628128052	-0.396006762981415	-0.741349577903748	NaN	1.505699992	1.45720005	NaN	1.109599948	1.067399979	0.023149372	0.027413767	P51398				P51398	28S ribosomal protein S29, mitochondrial	DAP3	P51398	28S ribosomal protein S29, mitochondrial	DAP3
1.14012515544891	-0.72844785451889	-0.411677360534668	1.457900047	NaN	1.45720005	0.896799982	NaN	0.916400015	0.000339592	0.015287135	A0A024R857	A0A024R857	F-box and leucine-rich repeat protein 18, isoform CRA_b	FBXL18				A0A024R857	F-box and leucine-rich repeat protein 18, isoform CRA_b	FBXL18
1.15365123748779	-0.534202992916107	-0.619448184967041	1.330600023	1.37440002	1.456400037	1.005200028	1.018000007	1.042899966	0.046036909	0.018757575	Q567R6	Q567R6	Single-stranded DNA binding protein 1	SSBP1	Q567R6	Single-stranded DNA binding protein 1	SSBP1	Q567R6	Single-stranded DNA binding protein 1	SSBP1
1.15443074703217	-0.59883040189743	-0.555600345134735	1.366400003	1.490300059	1.454900026	0.981999993	1.080199957	0.988499999	0.044404594	0.054002991	E9PN17	E9PN17	ATP synthase subunit g, mitochondrial	ATP5L	E9PN17	ATP synthase subunit g, mitochondrial	ATP5L	E9PN17	ATP synthase subunit g, mitochondrial	ATP5L
1.10863554477692	-0.274683356285095	-0.833952188491821	1.640599966	1.402400017	1.451200008	1.152999997	1.079200029	1.129899979	0.083992215	0.033684612	A0A140VJC9	A0A140VJC9	Lysophospholipase II, isoform CRA_f	LYPLA2	A0A140VJC9	Lysophospholipase II, isoform CRA_f	LYPLA2	A0A140VJC9	Lysophospholipase II, isoform CRA_f	LYPLA2
1.1279468536377	-0.349959552288055	-0.77798730134964	1.401200056	1.385100007	1.450999975	1.095900059	1.09010005	1.059100032	0.02432405	0.018291454	Q9BUF5	Q9BUF5	Tubulin beta-6 chain	TUBB6	Q9BUF5	Tubulin beta-6 chain	TUBB6	Q9BUF5	Tubulin beta-6 chain	TUBB6
1.08889722824097	-0.211691677570343	-0.877205550670624	NaN	1.409399986	1.449699998	NaN	1.091400027	1.199399948	0.019933833	0.066673195	Q9NZ09-2				Q9NZ09-2	Isoform 2 of Ubiquitin-associated protein 1	UBAP1	Q9NZ09-2	Isoform 2 of Ubiquitin-associated protein 1	UBAP1
0.667821407318115	0.48187780380249	-1.14969921112061	1.407600045	1.403100014	1.448199987	1.36590004	1.336099982	1.392400026	0.017498562	0.020637556	A0A0S2Z489	A0A0S2Z489	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12, isoform CRA_a (Fragment)	PSMD12	A0A0S2Z489	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12, isoform CRA_a (Fragment)	PSMD12	A0A0S2Z489	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12, isoform CRA_a (Fragment)	PSMD12
1.15152287483215	-0.501623690128326	-0.649899125099182	1.263900042	1.439800024	1.447199941	0.951099992	1.129999995	1.036200047	0.074989567	0.086118035	P30049	P30049	ATP synthase subunit delta, mitochondrial	ATP5D	P30049	ATP synthase subunit delta, mitochondrial	ATP5D	P30049	ATP synthase subunit delta, mitochondrial	ATP5D
0.814484119415283	0.30160328745842	-1.11608743667603	1.324699998	1.371899962	1.444200039	1.273100019	1.176800013	1.337599993	0.043605891	0.06409692	Q12996	Q12996	Cleavage stimulation factor subunit 3	CSTF3	Q12996	Cleavage stimulation factor subunit 3	CSTF3	Q12996	Cleavage stimulation factor subunit 3	CSTF3
1.06067609786987	-0.13508540391922	-0.925590693950653	1.290300012	1.307800055	1.442399979	1.122499943	1.020699978	1.139799953	0.061792639	0.058805047	G5E9W7	G5E9W7	28S ribosomal protein S22, mitochondrial	MRPS22	G5E9W7	28S ribosomal protein S22, mitochondrial	MRPS22	G5E9W7	28S ribosomal protein S22, mitochondrial	MRPS22
0.991828143596649	0.0161481276154518	-1.00797629356384	1.412799954	1.577100039	1.441699982	1.226199985	1.297700047	1.213500023	0.059378831	0.036436894	Q9UL03-3	Q9UL03-3	Isoform 3 of Integrator complex subunit 6	INTS6	Q9UL03-3	Isoform 3 of Integrator complex subunit 6	INTS6	Q9UL03-3	Isoform 3 of Integrator complex subunit 6	INTS6
0.865747213363647	0.228837296366692	-1.09458446502686	1.301900029	NaN	1.441100001	1.241999984	NaN	1.259600043	0.071767585	0.009949729	Q5JTJ3-3	Q5JTJ3-3	Isoform 3 of Cytochrome c oxidase assembly factor 6 homolog	COA6				Q5JTJ3-3	Isoform 3 of Cytochrome c oxidase assembly factor 6 homolog	COA6
0.99427717924118	0.0113489842042327	-1.00562620162964	1.416499972	NaN	1.441100001	1.24849999	NaN	1.187600017	0.012174445	0.035353872	Q9NP72	Q9NP72	Ras-related protein Rab-18	RAB18				Q9NP72	Ras-related protein Rab-18	RAB18
0.46363776922226	0.684030473232269	-1.14766824245453	1.416000009	1.295699954	1.440400004	1.510699987	1.365700006	1.472900033	0.055970947	0.051882214	D3DVC4	D3DVC4	Nestin, isoform CRA_c	NES	D3DVC4	Nestin, isoform CRA_c	NES	D3DVC4	Nestin, isoform CRA_c	NES
1.03271794319153	-0.0690110400319099	-0.963706910610199	1.332700014	1.465899944	1.434900045	1.194900036	1.157699943	1.207499981	0.049391351	0.021819235	Q5T9A4	Q5T9A4	ATPase family AAA domain-containing protein 3B	ATAD3B	Q5T9A4	ATPase family AAA domain-containing protein 3B	ATAD3B	Q5T9A4	ATPase family AAA domain-containing protein 3B	ATAD3B
1.10373818874359	-0.258063733577728	-0.845674395561218	1.26849997	1.412700057	1.434700012	1.12440002	1.066900015	1.220499992	0.065801495	0.06823741	P41091	P41091	Eukaryotic translation initiation factor 2 subunit 3	EIF2S3	P41091	Eukaryotic translation initiation factor 2 subunit 3	EIF2S3	P41091	Eukaryotic translation initiation factor 2 subunit 3	EIF2S3
1.04544603824615	-0.0981268510222435	-0.947319209575653	1.477300048	NaN	1.432500005	1.261600018	NaN	1.126099944	0.021773602	0.080255495	B4DUC9	B4DUC9	cDNA FLJ53756, highly similar to SPRY domain-containing protein 4					B4DUC9	cDNA FLJ53756, highly similar to SPRY domain-containing protein 4	
0.523636698722839	0.629446744918823	-1.15308344364166	1.247699976	1.361299992	1.430199981	1.312399983	1.38409996	1.557800055	0.068447607	0.088980748	B4DLG2	B4DLG2	cDNA FLJ58196, highly similar to Zinc finger CCCH domain-containing protein 11A		B4DLG2	cDNA FLJ58196, highly similar to Zinc finger CCCH domain-containing protein 11A		B4DLG2	cDNA FLJ58196, highly similar to Zinc finger CCCH domain-containing protein 11A	
0.961181223392487	0.0735736489295959	-1.03475487232208	1.400099993	1.422299981	1.427299976	1.252900004	1.201099992	1.234500051	0.010220501	0.021357857	A0A024R071	A0A024R071	Nucleoporin 155kDa, isoform CRA_a	NUP155	A0A024R071	Nucleoporin 155kDa, isoform CRA_a	NUP155	A0A024R071	Nucleoporin 155kDa, isoform CRA_a	NUP155
1.15270924568176	-0.517651617527008	-0.635057628154755	NaN	1.244300008	1.425699949	NaN	1.064700007	0.979300022	0.096081746	0.059086994	Q658Y4				Q658Y4	Protein FAM91A1	FAM91A1	Q658Y4	Protein FAM91A1	FAM91A1
1.14434921741486	-0.438575714826584	-0.70577347278595	1.51639998	1.438300014	1.424700022	1.079599977	1.063300014	1.054700017	0.033899466	0.01186532	Q9P0L0	Q9P0L0	Vesicle-associated membrane protein-associated protein A	VAPA	Q9P0L0	Vesicle-associated membrane protein-associated protein A	VAPA	Q9P0L0	Vesicle-associated membrane protein-associated protein A	VAPA
0.843690454959869	0.260899066925049	-1.10458958148956	1.483399987	1.51030004	1.424100041	1.332999945	1.338799953	1.371199965	0.029949183	0.015275117	P82673	P82673	28S ribosomal protein S35, mitochondrial	MRPS35	P82673	28S ribosomal protein S35, mitochondrial	MRPS35	P82673	28S ribosomal protein S35, mitochondrial	MRPS35
0.446737557649612	0.698758721351624	-1.14549624919891	NaN	1.637699962	1.423699975	NaN	1.585899949	1.64349997	0.098857284	0.025224108	Q6FIE9				Q6FIE9	TOLLIP protein	TOLLIP	Q6FIE9	TOLLIP protein	TOLLIP
1.1519101858139	-0.506476938724518	-0.645433247089386	1.415199995	1.251299977	1.420300007	1.05490005	1.032099962	1.029899955	0.070568997	0.013323334	Q86U44	Q86U44	N6-adenosine-methyltransferase catalytic subunit	METTL3	Q86U44	N6-adenosine-methyltransferase catalytic subunit	METTL3	Q86U44	N6-adenosine-methyltransferase catalytic subunit	METTL3
1.05433666706085	-0.119393065571785	-0.934943616390228	NaN	1.420600057	1.419700027	NaN	1.205899954	1.138599992	0.000448134	0.040595658	Q9BRP1	Q9BRP1	Programmed cell death protein 2-like	PDCD2L	Q9BRP1	Programmed cell death protein 2-like	PDCD2L	Q9BRP1	Programmed cell death protein 2-like	PDCD2L
1.14528679847717	-0.700073897838593	-0.445212930440903	1.404700041	1.595800042	1.417500019	0.92809999	1.038900018	0.933099985	0.072540842	0.064732606	Q96I51-3	Q96I51-3	Isoform 3 of RCC1-like G exchanging factor-like protein	RCC1L	Q96I51-3	Isoform 3 of RCC1-like G exchanging factor-like protein	RCC1L	Q96I51-3	Isoform 3 of RCC1-like G exchanging factor-like protein	RCC1L
1.12241888046265	-0.326407492160797	-0.796011388301849	1.350999951	1.581099987	1.417099953	1.102100015	1.15320003	0.958100021	0.081718674	0.094450597	Q8N201	Q8N201	Integrator complex subunit 1	INTS1	Q8N201	Integrator complex subunit 1	INTS1	Q8N201	Integrator complex subunit 1	INTS1
1.10443019866943	-0.844063520431519	-0.260366648435593	1.256500006	1.164399981	1.414899945	0.932900012	0.890299976	0.815999985	0.099095767	0.067249948	X5DR54	X5DR54	NudE neurodevelopment protein 1 isoform B (Fragment)	NDE1	X5DR54	NudE neurodevelopment protein 1 isoform B (Fragment)	NDE1	X5DR54	NudE neurodevelopment protein 1 isoform B (Fragment)	NDE1
1.14141702651978	-0.41946217417717	-0.721954822540283	1.404099941	1.371299982	1.414800048	1.058400035	1.065600038	1.10619998	0.016228128	0.023934922	A0A024R718	A0A024R718	Pre-B-cell colony enhancing factor 1, isoform CRA_a	PBEF1	A0A024R718	Pre-B-cell colony enhancing factor 1, isoform CRA_a	PBEF1	A0A024R718	Pre-B-cell colony enhancing factor 1, isoform CRA_a	PBEF1
0.13697013258934	0.924454689025879	-1.06142485141754	1.321099997	1.268700004	1.411999941	1.604900002	1.332499981	1.532099962	0.054355654	0.094663581	F5H0U5	F5H0U5	Glycolipid transfer protein	GLTP	F5H0U5	Glycolipid transfer protein	GLTP	F5H0U5	Glycolipid transfer protein	GLTP
0.117026425898075	0.936337828636169	-1.05336427688599	1.308699965	1.295099974	1.411200047	1.481600046	1.743700027	1.524799943	0.047424469	0.088749349	A0A024RAM2	A0A024RAM2	Glutaredoxin (Thioltransferase), isoform CRA_c	GLRX	A0A024RAM2	Glutaredoxin (Thioltransferase), isoform CRA_c	GLRX	A0A024RAM2	Glutaredoxin (Thioltransferase), isoform CRA_c	GLRX
0.937291324138641	0.115403763949871	-1.05269503593445	1.416800022	1.37469995	1.410400033	1.24119997	1.190700054	1.24090004	0.016196812	0.023744781	A0M8Q2	A0M8Q2	Phosphatase 2C motif		A0M8Q2	Phosphatase 2C motif		A0M8Q2	Phosphatase 2C motif	
1.15207409858704	-0.508628487586975	-0.643445611000061	1.391499996	1.465399981	1.4102	1.030799985	1.034999967	0.921599984	0.027013389	0.064564557	O95140	O95140	Mitofusin-2	MFN2	O95140	Mitofusin-2	MFN2	O95140	Mitofusin-2	MFN2
0.896702110767365	0.181683823466301	-1.07838594913483	1.4102	1.459900022	1.4102	1.291399956	1.261700034	1.259500027	0.020111432	0.014019044	A0A158RFU6	A0A158RFU6	RAB7, member RAS oncogene family, isoform CRA_a	RAB7A	A0A158RFU6	RAB7, member RAS oncogene family, isoform CRA_a	RAB7A	A0A158RFU6	RAB7, member RAS oncogene family, isoform CRA_a	RAB7A
0.983598947525024	0.0320323817431927	-1.01563131809235	1.382799983	1.219900012	1.409700036	1.341899991	1.200600028	1.19659996	0.076787156	0.066399773	Q6IBG8	Q6IBG8	GUK1 protein	GUK1	Q6IBG8	GUK1 protein	GUK1	Q6IBG8	GUK1 protein	GUK1
1.14294648170471	-0.42915341258049	-0.713793098926544	1.350200057	1.504299998	1.409000039	1.062700033	1.136899948	1.000399947	0.05472059	0.064065373	P82914	P82914	28S ribosomal protein S15, mitochondrial	MRPS15	P82914	28S ribosomal protein S15, mitochondrial	MRPS15	P82914	28S ribosomal protein S15, mitochondrial	MRPS15
1.1536990404129	-0.618489742279053	-0.53520929813385	1.313699961	1.34070003	1.409000039	1.037799954	0.972199976	0.983200014	0.036264387	0.035211735	Q9H7Z7	Q9H7Z7	Prostaglandin E synthase 2	PTGES2	Q9H7Z7	Prostaglandin E synthase 2	PTGES2	Q9H7Z7	Prostaglandin E synthase 2	PTGES2
0.989733159542084	0.0202268529683352	-1.00995993614197	1.529600024	1.431699991	1.405799985	1.211099982	1.36559999	1.22239995	0.044855633	0.068008842	A0A024R0Y5	A0A024R0Y5	ATP-dependent 6-phosphofructokinase	PFKM	A0A024R0Y5	ATP-dependent 6-phosphofructokinase	PFKM	A0A024R0Y5	ATP-dependent 6-phosphofructokinase	PFKM
1.13680028915405	-0.393003821372986	-0.743796467781067	1.368299961	1.322000027	1.404800057	1.093400002	1.034800053	1.068699956	0.030399666	0.027608078	A0A140VK44	A0A140VK44	Proteasome subunit alpha type		A0A140VK44	Proteasome subunit alpha type		A0A140VK44	Proteasome subunit alpha type	
1.1350349187851	-0.383746564388275	-0.75128835439682	1.353099942	1.340499997	1.403599977	1.068799973	1.052600026	1.112599969	0.02445072	0.028794017	P25788-2	P25788-2	Isoform 2 of Proteasome subunit alpha type-3	PSMA3	P25788-2	Isoform 2 of Proteasome subunit alpha type-3	PSMA3	P25788-2	Isoform 2 of Proteasome subunit alpha type-3	PSMA3
0.786763429641724	0.338569462299347	-1.12533283233643	1.317000031	1.322100043	1.402799964	1.287700057	1.246099949	1.246600032	0.035724756	0.018946234	B3KNI2	B3KNI2	cDNA FLJ14650 fis, clone NT2RP2002185, highly similar to Ubiquilin-1		B3KNI2	cDNA FLJ14650 fis, clone NT2RP2002185, highly similar to Ubiquilin-1		B3KNI2	cDNA FLJ14650 fis, clone NT2RP2002185, highly similar to Ubiquilin-1	
1.03495121002197	-0.960935831069946	-0.0740154236555099	1.299200058	NaN	1.40199995	0.6699	NaN	0.769299984	0.053820895	0.097674268	D3DVH1	D3DVH1	Succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa, isoform CRA_a	SDHC				D3DVH1	Succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa, isoform CRA_a	SDHC
0.792180240154266	0.33146595954895	-1.12364614009857	1.476899981	1.366899967	1.40170002	1.305099964	1.341199994	1.289399981	0.039728813	0.020246262	P16152	P16152	Carbonyl reductase [NADPH] 1	CBR1	P16152	Carbonyl reductase [NADPH] 1	CBR1	P16152	Carbonyl reductase [NADPH] 1	CBR1
